id,total_evs,avg_battery,SUV,Pickup,Sedan,Van
4563,0,,0,0,0,0
4564,0,,0,0,0,0
4565,0,,0,0,0,0
4566,0,,0,0,0,0
4567,0,,0,0,0,0
4568,0,,0,0,0,0
4569,0,,0,0,0,0
4570,0,,0,0,0,0
4571,0,,0,0,0,0
4572,0,,0,0,0,0
4573,0,,0,0,0,0
4574,0,,0,0,0,0
4575,0,,0,0,0,0
4576,0,,0,0,0,0
4577,0,,0,0,0,0
4578,0,,0,0,0,0
4579,0,,0,0,0,0
4580,0,,0,0,0,0
4581,0,,0,0,0,0
4582,0,,0,0,0,0
4583,0,,0,0,0,0
4584,0,,0,0,0,0
4585,0,,0,0,0,0
4586,0,,0,0,0,0
4587,0,,0,0,0,0
4588,0,,0,0,0,0
4589,0,,0,0,0,0
4590,0,,0,0,0,0
4591,0,,0,0,0,0
4592,0,,0,0,0,0
4593,0,,0,0,0,0
4594,0,,0,0,0,0
4595,0,,0,0,0,0
4596,0,,0,0,0,0
4597,0,,0,0,0,0
4598,0,,0,0,0,0
4599,0,,0,0,0,0
4600,0,,0,0,0,0
4601,0,,0,0,0,0
4602,0,,0,0,0,0
4605,4,75.0,2,0,2,0
4609,4,75.0,2,0,2,0
4610,11,88.18181818181819,6,3,2,0
4611,11,88.18181818181819,6,3,2,0
4612,11,88.18181818181819,6,3,2,0
4613,11,88.18181818181819,6,3,2,0
4614,11,88.18181818181819,6,3,2,0
4615,11,88.18181818181819,6,3,2,0
4616,11,88.18181818181819,6,3,2,0
4617,11,88.18181818181819,6,3,2,0
4619,11,88.18181818181819,6,3,2,0
4620,4,75.0,2,0,2,0
4621,4,75.0,2,0,2,0
4622,11,88.18181818181819,6,3,2,0
4623,4,75.0,2,0,2,0
4624,4,75.0,2,0,2,0
4625,11,88.18181818181819,6,3,2,0
4626,0,,0,0,0,0
4627,11,88.18181818181819,6,3,2,0
4632,11,88.18181818181819,6,3,2,0
4633,11,88.18181818181819,6,3,2,0
4634,11,88.18181818181819,6,3,2,0
4635,11,88.18181818181819,6,3,2,0
4638,11,88.18181818181819,6,3,2,0
4641,11,88.18181818181819,6,3,2,0
4646,11,88.18181818181819,6,3,2,0
4647,11,88.18181818181819,6,3,2,0
4652,11,88.18181818181819,6,3,2,0
4654,11,88.18181818181819,6,3,2,0
4655,11,88.18181818181819,6,3,2,0
4656,11,88.18181818181819,6,3,2,0
4657,11,88.18181818181819,6,3,2,0
4658,11,88.18181818181819,6,3,2,0
4659,11,88.18181818181819,6,3,2,0
4684,11,88.18181818181819,6,3,2,0
4687,11,88.18181818181819,6,3,2,0
4688,11,88.18181818181819,6,3,2,0
4691,11,88.18181818181819,6,3,2,0
4692,11,88.18181818181819,6,3,2,0
4699,11,88.18181818181819,6,3,2,0
4706,11,88.18181818181819,6,3,2,0
4708,11,88.18181818181819,6,3,2,0
4709,11,88.18181818181819,6,3,2,0
4710,11,88.18181818181819,6,3,2,0
4716,11,88.18181818181819,6,3,2,0
4722,11,88.18181818181819,6,3,2,0
4729,11,88.18181818181819,6,3,2,0
4734,11,88.18181818181819,6,3,2,0
4736,11,88.18181818181819,6,3,2,0
4737,11,88.18181818181819,6,3,2,0
4738,11,88.18181818181819,6,3,2,0
4740,11,88.18181818181819,6,3,2,0
4741,11,88.18181818181819,6,3,2,0
4744,11,88.18181818181819,6,3,2,0
4745,11,88.18181818181819,6,3,2,0
4746,11,88.18181818181819,6,3,2,0
4747,11,88.18181818181819,6,3,2,0
4749,11,88.18181818181819,6,3,2,0
4752,11,88.18181818181819,6,3,2,0
4753,11,88.18181818181819,6,3,2,0
4754,11,88.18181818181819,6,3,2,0
4755,11,88.18181818181819,6,3,2,0
4756,11,88.18181818181819,6,3,2,0
4759,11,88.18181818181819,6,3,2,0
4762,11,88.18181818181819,6,3,2,0
4763,11,88.18181818181819,6,3,2,0
4765,11,88.18181818181819,6,3,2,0
4784,11,88.18181818181819,6,3,2,0
4785,11,88.18181818181819,6,3,2,0
4787,11,88.18181818181819,6,3,2,0
4788,11,88.18181818181819,6,3,2,0
4789,11,88.18181818181819,6,3,2,0
4794,11,88.18181818181819,6,3,2,0
4795,11,88.18181818181819,6,3,2,0
4797,11,88.18181818181819,6,3,2,0
4798,11,88.18181818181819,6,3,2,0
4802,11,88.18181818181819,6,3,2,0
4803,11,88.18181818181819,6,3,2,0
4809,11,88.18181818181819,6,3,2,0
4810,11,88.18181818181819,6,3,2,0
4815,11,88.18181818181819,6,3,2,0
4816,11,88.18181818181819,6,3,2,0
4830,11,88.18181818181819,6,3,2,0
4832,11,88.18181818181819,6,3,2,0
4833,11,88.18181818181819,6,3,2,0
4834,11,88.18181818181819,6,3,2,0
4835,11,88.18181818181819,6,3,2,0
4843,11,88.18181818181819,6,3,2,0
4844,11,88.18181818181819,6,3,2,0
4846,11,88.18181818181819,6,3,2,0
4847,11,88.18181818181819,6,3,2,0
4849,11,88.18181818181819,6,3,2,0
4850,11,88.18181818181819,6,3,2,0
